State,Period,Population (thousands),Labor Force (thousands),Labor Force Participation Rate (LFPR) (%),LFPR compared to pre-pandemic levels (%),Employment (thousands),Unemployment (thousands),Unemployment compared to pre-pandemic levels (%),Unemployment Rate (%),Job Openings (thousands),Job Openings compared to pre-pandemic levels (%),Labor Shortage or Surplus (thousands),Available Worker Ratio,Quits (thousands),Quit Rate (%),Hires (thousands),Hire Rate (%)
New Jersey,5/1/2026,7733,4909,63.5,-1.0,4681,229,17.1,4.7,,,,,,,,
New Mexico,5/1/2026,1710,976,57.1,-0.7,928,48,-5.8,4.9,,,,,,,,
New York,5/1/2026,16369,10094,61.7,0.8,9631,463,12.2,4.6,,,,,,,,
North Carolina,5/1/2026,9017,5280,58.6,-2.8,5086,195,2.5,3.7,,,,,,,,
North Dakota,5/1/2026,623,434,69.8,0.4,424,10,13.5,2.4,,,,,,,,
Ohio,5/1/2026,9548,5897,61.8,-1.7,5678,219,-18.4,3.7,,,,,,,,
Oklahoma,5/1/2026,3220,1994,61.9,1.1,1912,82,41.6,4.1,,,,,,,,
Oregon,5/1/2026,3529,2203,62.4,1.4,2089,114,53.5,5.2,,,,,,,,
Pennsylvania,5/1/2026,10639,6626,62.3,-0.5,6350,277,-8.1,4.2,,,,,,,,
Rhode Island,5/1/2026,929,581,62.6,-1.6,556,25,20.7,4.3,,,,,,,,
South Carolina,5/1/2026,4531,2673,59.0,1.1,2549,124,81.3,4.6,,,,,,,,
South Dakota,5/1/2026,728,490,67.3,-1.9,480,10,-11.1,2.1,,,,,,,,
Tennessee,5/1/2026,5872,3498,59.6,-1.9,3372,126,9.4,3.6,,,,,,,,
Texas,5/1/2026,24750,15902,64.2,0.4,15213,688,37.1,4.3,,,,,,,,
Utah,5/1/2026,2743,1825,66.5,-1.7,1757,68,66.8,3.7,,,,,,,,
Vermont,5/1/2026,544,340,62.5,-3.4,331,9,15.9,2.6,,,,,,,,
Virginia,5/1/2026,7093,4491,63.3,-2.3,4321,170,33.1,3.8,,,,,,,,
Washington,5/1/2026,6508,4066,62.5,-2.9,3854,212,42.0,5.2,,,,,,,,
West Virginia,5/1/2026,1435,775,54.0,-0.9,742,33,-20.8,4.3,,,,,,,,
Wisconsin,5/1/2026,4861,3131,64.4,-1.7,3024,107,12.1,3.4,,,,,,,,
Wyoming,5/1/2026,472,287,60.8,-5.0,277,10,-29.6,3.4,,,,,,,,
Alabama,4/1/2026,4150,2378,57.3,0.1,2311,67,-9.4,2.8,,,,,,,,
Alaska,4/1/2026,559,369,66.1,1.7,352,17,-8.8,4.6,,,,,,,,
Arizona,4/1/2026,6164,3760,61.0,-1.0,3582,178,5.5,4.7,,,,,,,,
Arkansas,4/1/2026,2460,1455,59.1,1.2,1393,62,28.5,4.3,,,,,,,,
California,4/1/2026,31748,19721,62.1,-0.9,18675,1046,21.6,5.3,,,,,,,,
Colorado,4/1/2026,4867,3216,66.1,-2.6,3089,126,26.7,3.9,,,,,,,,
Connecticut,4/1/2026,3027,1912,63.2,-3.1,1816,97,29.7,5.0,,,,,,,,
