State,Period,Population (thousands),Labor Force (thousands),Labor Force Participation Rate (LFPR) (%),LFPR compared to pre-pandemic levels (%),Employment (thousands),Unemployment (thousands),Unemployment compared to pre-pandemic levels (%),Unemployment Rate (%),Job Openings (thousands),Job Openings compared to pre-pandemic levels (%),Labor Shortage or Surplus (thousands),Available Worker Ratio,Quits (thousands),Quit Rate (%),Hires (thousands),Hire Rate (%)
Delaware,6/1/2024,851,511,60.0,-1.0,490,20,17.1,4.0,24,9.1,-4,0.84,13,2.7,18,3.7
District of Columbia,6/1/2024,569,413,72.7,1.2,391,22,-4.5,5.3,31,-6.1,-9,0.71,12,1.6,19,2.5
Florida,6/1/2024,19010,11128,58.5,-0.8,10753,374,21.1,3.4,458,12.3,-84,0.82,269,2.7,404,4.1
Georgia,6/1/2024,8797,5433,61.8,-1.1,5243,190,0.4,3.5,252,11.0,-62,0.75,122,2.5,154,3.1
Hawaii,6/1/2024,1133,683,60.2,-1.1,663,19,27.1,2.8,26,0.0,-7,0.73,13,2.0,20,3.1
Idaho,6/1/2024,1560,997,63.9,-0.3,962,36,39.8,3.6,44,10.0,-8,0.82,23,2.7,39,4.5
Illinois,6/1/2024,10212,6653,65.1,1.0,6311,342,37.9,5.1,308,18.0,34,1.11,123,2.0,205,3.3
Indiana,6/1/2024,5451,3472,63.7,-0.5,3330,143,22.1,4.1,140,-6.0,3,1.02,75,2.3,125,3.8
Iowa,6/1/2024,2549,1709,67.1,-2.1,1656,53,14.9,3.1,67,-9.5,-14,0.79,33,2.1,49,3.1
Kansas,6/1/2024,2299,1548,67.3,0.2,1493,55,18.2,3.6,67,-4.3,-12,0.82,25,1.7,43,2.9
Kentucky,6/1/2024,3602,2096,58.2,-0.4,1994,102,19.7,4.9,125,42.0,-23,0.82,48,2.4,66,3.2
Louisiana,6/1/2024,3589,2089,58.2,0.2,2001,88,-9.3,4.2,93,-5.1,-5,0.95,58,2.9,71,3.6
Maine,6/1/2024,1176,707,60.2,-1.9,687,21,-6.3,2.9,34,6.3,-13,0.61,13,2.0,25,3.8
Maryland,6/1/2024,4974,3243,65.2,-4.1,3139,104,-10.0,3.2,146,-3.3,-42,0.71,54,1.9,91,3.2
Massachusetts,6/1/2024,5903,3927,66.5,0.2,3769,158,33.8,4.0,203,9.1,-45,0.78,60,1.6,110,2.9
Michigan,6/1/2024,8171,5065,62.0,0.6,4826,239,28.5,4.7,208,-1.4,31,1.15,92,2.0,161,3.6
Minnesota,6/1/2024,4603,3138,68.2,-1.8,3038,100,-9.0,3.2,190,58.3,-90,0.53,48,1.6,88,2.9
Mississippi,6/1/2024,2312,1273,55.1,-0.9,1234,39,-47.3,3.0,60,11.1,-21,0.64,29,2.4,38,3.2
Missouri,6/1/2024,4945,3147,63.6,-0.4,3028,119,12.7,3.8,157,25.6,-38,0.75,67,2.2,98,3.3
Montana,6/1/2024,916,579,63.2,-0.4,562,18,-8.6,3.1,31,14.8,-13,0.57,15,2.8,25,4.7
Nebraska,6/1/2024,1553,1077,69.3,-0.8,1048,29,-8.1,2.7,44,-10.2,-15,0.67,23,2.2,37,3.5
Nevada,6/1/2024,2613,1642,62.8,-1.3,1552,89,30.8,5.4,62,0.0,27,1.44,35,2.2,55,3.5
New Hampshire,6/1/2024,1176,771,65.6,-2.7,751,20,-1.2,2.5,37,2.8,-17,0.53,12,1.7,27,3.8
New Jersey,6/1/2024,7657,4909,64.1,-0.4,4681,227,16.6,4.6,222,17.5,5,1.02,78,1.8,127,2.9
New Mexico,6/1/2024,1701,982,57.7,-0.1,941,41,-19.1,4.2,52,20.9,-11,0.79,17,1.9,31,3.5
New York,6/1/2024,16326,9937,60.9,0.0,9517,420,1.8,4.2,466,18.0,-46,0.90,181,1.8,296,3.0
North Carolina,6/1/2024,8770,5301,60.5,-0.9,5108,193,1.9,3.6,242,5.7,-49,0.80,103,2.0,164,3.3
North Dakota,6/1/2024,612,425,69.4,0.1,415,10,13.9,2.4,23,0.0,-13,0.45,10,2.2,17,3.8
Ohio,6/1/2024,9462,5933,62.7,-0.8,5675,258,-3.6,4.3,246,-5.0,12,1.05,112,2.0,202,3.6
Oklahoma,6/1/2024,3167,1998,63.1,2.3,1934,64,10.8,3.2,90,15.4,-26,0.71,42,2.4,68,3.8
Oregon,6/1/2024,3502,2193,62.6,1.6,2100,92,24.1,4.2,102,-8.9,-10,0.91,41,2.1,68,3.4
Pennsylvania,6/1/2024,10590,6581,62.1,-0.7,6333,249,-17.4,3.8,317,23.3,-68,0.78,95,1.5,196,3.2
Rhode Island,6/1/2024,920,595,64.7,0.5,569,26,22.9,4.3,29,26.1,-3,0.88,11,2.1,19,3.7
South Carolina,6/1/2024,4385,2567,58.5,0.7,2457,111,62.1,4.3,129,24.0,-18,0.86,69,2.9,92,3.9
South Dakota,6/1/2024,713,485,68.0,-1.2,476,9,-23.8,1.8,21,0.0,-12,0.42,10,2.1,16,3.4
Tennessee,6/1/2024,5763,3459,60.0,-1.4,3343,116,0.4,3.3,162,-1.2,-46,0.71,85,2.5,115,3.4
Texas,6/1/2024,24101,15631,64.9,1.0,14984,647,28.9,4.1,592,11.9,55,1.09,345,2.4,445,3.1
Utah,6/1/2024,2660,1828,68.7,0.4,1767,61,50.5,3.3,81,6.6,-20,0.76,41,2.4,67,3.9
Vermont,6/1/2024,544,354,65.0,-0.8,346,8,4.8,2.3,17,6.3,-9,0.47,8,2.6,12,3.8
Virginia,6/1/2024,6974,4553,65.3,-0.3,4422,131,2.3,2.9,209,-1.9,-78,0.63,81,1.9,127,3.0
Washington,6/1/2024,6375,4046,63.5,-1.9,3862,184,23.4,4.6,138,-16.4,46,1.34,66,1.8,101,2.8
West Virginia,6/1/2024,1432,791,55.2,0.3,759,32,-23.7,4.1,46,4.5,-14,0.70,22,3.1,29,4.0
Wisconsin,6/1/2024,4812,3145,65.4,-0.8,3051,94,-2.0,3.0,141,-5.4,-47,0.67,57,1.9,99,3.3
Wyoming,6/1/2024,465,293,62.9,-2.9,283,9,-33.4,3.1,16,-5.9,-7,0.57,8,2.7,13,4.4
Alabama,5/1/2024,4092,2353,57.5,0.3,2285,68,-7.6,2.9,114,15.2,-46,0.60,55,2.5,84,3.8
Alaska,5/1/2024,553,360,65.0,0.6,344,16,-13.7,4.5,23,0.0,-7,0.71,10,3.0,17,5.1
Arizona,5/1/2024,6030,3733,61.9,-0.1,3601,132,-22.0,3.5,165,3.8,-33,0.80,75,2.3,111,3.4
Arkansas,5/1/2024,2423,1409,58.2,0.3,1361,48,0.3,3.4,69,19.0,-21,0.70,35,2.6,55,4.1
California,5/1/2024,31625,19673,62.2,-0.8,18641,1032,20.0,5.2,684,-11.9,348,1.51,335,1.9,499,2.8
Colorado,5/1/2024,4810,3264,67.9,-0.8,3132,132,32.7,4.1,175,41.1,-43,0.76,63,2.1,108,3.6
Connecticut,5/1/2024,2998,1930,64.4,-1.9,1869,62,-16.9,3.2,84,20.0,-22,0.74,32,1.9,53,3.1
Delaware,5/1/2024,849,510,60.1,-1.0,490,20,16.3,3.9,25,13.6,-5,0.80,13,2.7,20,4.1
District of Columbia,5/1/2024,568,413,72.8,1.3,392,22,-5.5,5.2,33,0.0,-11,0.66,12,1.6,20,2.6
Florida,5/1/2024,18983,11122,58.6,-0.7,10754,368,19.1,3.3,493,20.8,-125,0.75,212,2.1,355,3.6
Georgia,5/1/2024,8785,5430,61.8,-1.1,5242,187,-1.0,3.4,254,11.9,-67,0.74,116,2.3,187,3.8
Hawaii,5/1/2024,1133,681,60.1,-1.2,662,19,26.6,2.8,31,19.2,-12,0.61,13,2.0,23,3.6
Idaho,5/1/2024,1557,995,63.9,-0.3,959,36,38.5,3.6,47,17.5,-11,0.76,23,2.7,38,4.4
Illinois,5/1/2024,10204,6644,65.1,0.9,6303,340,37.2,5.1,329,26.1,11,1.03,132,2.1,249,4.1
Indiana,5/1/2024,5446,3463,63.6,-0.6,3323,140,20.1,4.1,170,14.1,-30,0.83,73,2.2,116,3.6
Iowa,5/1/2024,2547,1707,67.0,-2.1,1656,51,10.5,3.0,67,-9.5,-16,0.76,31,1.9,49,3.1
Kansas,5/1/2024,2297,1545,67.2,0.1,1491,54,15.4,3.5,66,-5.7,-12,0.82,33,2.3,47,3.2
Kentucky,5/1/2024,3599,2091,58.1,-0.5,1990,101,18.1,4.8,125,42.0,-24,0.81,57,2.8,78,3.8
Louisiana,5/1/2024,3587,2087,58.2,0.2,2000,86,-10.8,4.1,111,13.3,-25,0.78,52,2.6,81,4.1
Maine,5/1/2024,1175,706,60.1,-2.0,686,20,-8.2,2.9,41,28.1,-21,0.50,15,2.3,26,3.9
Maryland,5/1/2024,4970,3241,65.2,-4.1,3140,101,-12.0,3.1,135,-10.6,-34,0.75,60,2.1,96,3.4
Massachusetts,5/1/2024,5897,3920,66.5,0.2,3765,155,31.6,4.0,201,8.1,-46,0.77,67,1.8,107,2.9
Michigan,5/1/2024,8166,5059,62.0,0.6,4829,230,23.9,4.5,222,5.2,8,1.04,88,2.0,187,4.2
Minnesota,5/1/2024,4598,3134,68.2,-1.8,3036,98,-11.0,3.1,166,38.3,-68,0.59,61,2.0,97,3.2
Mississippi,5/1/2024,2310,1268,54.9,-1.1,1231,37,-49.4,2.9,69,27.8,-32,0.54,36,3.0,48,4.0
Missouri,5/1/2024,4941,3142,63.6,-0.4,3025,117,11.5,3.7,151,20.8,-34,0.78,72,2.4,99,3.3
Montana,5/1/2024,915,579,63.2,-0.5,561,18,-9.0,3.0,32,18.5,-14,0.55,15,2.8,27,5.1
Nebraska,5/1/2024,1552,1075,69.3,-0.8,1046,29,-9.8,2.7,46,-6.1,-17,0.62,25,2.4,37,3.5
Nevada,5/1/2024,2609,1638,62.8,-1.4,1550,89,29.7,5.4,67,8.1,22,1.32,35,2.2,58,3.7
New Hampshire,5/1/2024,1175,770,65.5,-2.7,751,19,-3.4,2.5,38,5.6,-19,0.50,16,2.3,26,3.7
New Jersey,5/1/2024,7648,4906,64.1,-0.3,4680,226,15.7,4.6,223,18.0,3,1.01,74,1.7,135,3.1
New Mexico,5/1/2024,1700,981,57.7,-0.1,941,40,-20.7,4.1,61,41.9,-21,0.66,20,2.3,35,3.9
New York,5/1/2024,16308,9927,60.9,0.0,9510,418,1.2,4.2,464,17.5,-46,0.90,163,1.6,259,2.6
North Carolina,5/1/2024,8756,5300,60.5,-0.8,5108,192,1.3,3.6,276,20.5,-84,0.70,105,2.1,194,3.9
North Dakota,5/1/2024,612,424,69.3,0.0,414,10,11.4,2.4,24,4.3,-14,0.42,12,2.7,19,4.3
Ohio,5/1/2024,9456,5922,62.6,-0.9,5668,254,-5.1,4.3,245,-5.4,9,1.04,118,2.1,205,3.6
Oklahoma,5/1/2024,3164,1997,63.1,2.3,1932,65,11.3,3.2,104,33.3,-39,0.62,44,2.5,77,4.3
Oregon,5/1/2024,3500,2191,62.6,1.6,2099,92,23.4,4.2,102,-8.9,-10,0.90,45,2.3,70,3.5
Pennsylvania,5/1/2024,10585,6589,62.3,-0.6,6342,247,-18.0,3.7,323,25.7,-76,0.76,118,1.9,184,3.0
Rhode Island,5/1/2024,919,595,64.7,0.5,569,25,20.1,4.2,29,26.1,-4,0.86,12,2.3,24,4.7
South Carolina,5/1/2024,4377,2559,58.5,0.6,2453,106,54.8,4.1,141,35.6,-35,0.75,63,2.7,99,4.2
South Dakota,5/1/2024,712,484,68.0,-1.2,475,9,-24.9,1.8,22,4.8,-13,0.39,12,2.6,18,3.8
Tennessee,5/1/2024,5755,3451,60.0,-1.5,3338,113,-2.0,3.3,169,3.0,-56,0.67,98,2.9,161,4.8
Texas,5/1/2024,24055,15591,64.8,0.9,14951,640,27.4,4.1,649,22.7,-9,0.99,330,2.3,499,3.5
Utah,5/1/2024,2654,1825,68.8,0.5,1765,60,47.7,3.3,84,10.5,-24,0.72,47,2.7,68,3.9
Vermont,5/1/2024,544,354,65.0,-0.8,346,8,1.7,2.2,17,6.3,-9,0.46,7,2.2,11,3.5
Virginia,5/1/2024,6967,4553,65.4,-0.3,4424,129,0.7,2.8,243,14.1,-114,0.53,96,2.3,180,4.2
Washington,5/1/2024,6367,4045,63.5,-1.9,3860,185,23.6,4.6,152,-7.9,33,1.22,64,1.8,107,3.0
West Virginia,5/1/2024,1432,792,55.3,0.3,760,32,-23.2,4.1,50,13.6,-18,0.65,20,2.7,31,4.3
Wisconsin,5/1/2024,4808,3143,65.4,-0.8,3050,94,-2.2,3.0,153,2.7,-59,0.61,66,2.2,102,3.4
Wyoming,5/1/2024,465,293,63.0,-2.9,284,9,-34.6,3.1,17,0.0,-8,0.53,8,2.7,13,4.4
Alabama,4/1/2024,4088,2350,57.5,0.2,2282,68,-8.3,2.9,117,18.2,-49,0.58,54,2.5,82,3.7
Alaska,4/1/2024,553,359,65.0,0.5,343,16,-14.2,4.5,21,-8.7,-5,0.77,10,3.0,17,5.1
Arizona,4/1/2024,6021,3727,61.9,-0.1,3598,129,-23.6,3.5,167,5.0,-38,0.77,76,2.3,105,3.2
Arkansas,4/1/2024,2421,1406,58.1,0.2,1358,48,-0.2,3.4,67,15.5,-19,0.72,34,2.6,53,4.0
California,4/1/2024,31602,19638,62.1,-0.9,18618,1020,18.6,5.2,628,-19.1,392,1.62,273,1.5,551,3.1
Colorado,4/1/2024,4803,3260,67.9,-0.8,3130,130,30.1,4.0,173,39.5,-43,0.75,88,3.0,101,3.4
Connecticut,4/1/2024,2995,1928,64.4,-1.9,1866,61,-17.5,3.2,82,17.1,-21,0.75,34,2.0,51,3.0
Delaware,4/1/2024,848,510,60.1,-0.9,490,20,14.9,3.9,26,18.2,-6,0.76,12,2.4,19,3.9
District of Columbia,4/1/2024,567,413,72.8,1.4,392,21,-6.7,5.2,33,0.0,-12,0.65,14,1.8,20,2.6
Florida,4/1/2024,18956,11113,58.6,-0.7,10752,362,17.0,3.3,516,26.5,-154,0.70,293,3.0,396,4.0
Georgia,4/1/2024,8772,5423,61.8,-1.1,5240,183,-3.1,3.4,262,15.4,-79,0.70,104,2.1,193,3.9
Hawaii,4/1/2024,1133,680,60.1,-1.3,661,19,26.3,2.8,21,-19.2,-2,0.90,13,2.0,19,3.0
Idaho,4/1/2024,1555,992,63.8,-0.4,957,35,36.7,3.5,44,10.0,-9,0.80,22,2.6,41,4.8
Illinois,4/1/2024,10196,6631,65.0,0.9,6294,336,35.5,5.1,308,18.0,28,1.09,131,2.1,231,3.8
Indiana,4/1/2024,5441,3454,63.5,-0.7,3317,137,17.5,4.0,140,-6.0,-3,0.98,80,2.5,130,4.0
Iowa,4/1/2024,2545,1704,67.0,-2.2,1655,49,6.7,2.9,61,-17.6,-12,0.81,32,2.0,51,3.2
Kansas,4/1/2024,2296,1541,67.1,0.0,1489,52,11.7,3.4,68,-2.9,-16,0.77,34,2.3,54,3.7
Kentucky,4/1/2024,3595,2086,58.0,-0.6,1987,99,16.3,4.8,122,38.6,-23,0.81,50,2.5,66,3.2
Louisiana,4/1/2024,3585,2085,58.2,0.2,1999,86,-11.6,4.1,115,17.3,-29,0.75,53,2.7,88,4.4
Maine,4/1/2024,1174,705,60.0,-2.0,685,20,-9.8,2.8,35,9.4,-15,0.57,14,2.1,23,3.5
Maryland,4/1/2024,4967,3237,65.2,-4.1,3138,98,-14.4,3.0,167,10.6,-69,0.59,59,2.1,120,4.2
Massachusetts,4/1/2024,5891,3911,66.4,0.1,3759,152,28.8,3.9,191,2.7,-39,0.80,51,1.4,89,2.4
Michigan,4/1/2024,8161,5052,61.9,0.6,4832,220,18.4,4.4,225,6.6,-5,0.98,88,2.0,152,3.4
Minnesota,4/1/2024,4594,3129,68.1,-1.9,3033,95,-13.4,3.0,143,19.2,-48,0.67,62,2.1,96,3.2
Mississippi,4/1/2024,2309,1264,54.7,-1.3,1228,36,-50.9,2.8,65,20.4,-29,0.55,31,2.6,46,3.9
Missouri,4/1/2024,4937,3136,63.5,-0.5,3021,115,9.3,3.7,148,18.4,-33,0.78,79,2.6,102,3.4
Montana,4/1/2024,915,577,63.1,-0.5,560,18,-9.4,3.0,31,14.8,-13,0.57,15,2.9,28,5.3
Nebraska,4/1/2024,1550,1073,69.2,-0.9,1045,28,-11.5,2.6,44,-10.2,-16,0.64,24,2.3,35,3.3
Nevada,4/1/2024,2605,1635,62.8,-1.4,1547,87,28.2,5.4,63,1.6,24,1.39,35,2.2,60,3.8
New Hampshire,4/1/2024,1174,769,65.5,-2.7,750,19,-5.8,2.4,35,-2.8,-16,0.53,16,2.3,23,3.3
New Jersey,4/1/2024,7639,4901,64.1,-0.3,4677,223,14.5,4.6,189,0.0,34,1.18,81,1.9,165,3.8
New Mexico,4/1/2024,1699,979,57.7,-0.2,940,39,-22.7,4.0,55,27.9,-16,0.71,22,2.5,32,3.6
New York,4/1/2024,16291,9915,60.9,-0.1,9501,414,0.2,4.2,410,3.8,4,1.01,165,1.7,230,2.3
North Carolina,4/1/2024,8742,5297,60.6,-0.8,5107,191,0.5,3.6,276,20.5,-85,0.69,110,2.2,204,4.1
North Dakota,4/1/2024,611,423,69.2,-0.1,413,10,8.3,2.3,22,-4.3,-12,0.45,11,2.5,17,3.8
Ohio,4/1/2024,9450,5910,62.5,-1.0,5661,248,-7.2,4.2,243,-6.2,5,1.02,134,2.4,202,3.6
Oklahoma,4/1/2024,3161,1995,63.1,2.3,1930,65,11.8,3.3,107,37.2,-42,0.61,45,2.5,81,4.6
Oregon,4/1/2024,3498,2189,62.6,1.6,2097,91,22.9,4.2,101,-9.8,-10,0.91,52,2.6,73,3.7
Pennsylvania,4/1/2024,10581,6596,62.3,-0.5,6351,245,-18.5,3.7,321,24.9,-76,0.76,115,1.9,181,3.0
Rhode Island,4/1/2024,918,594,64.7,0.5,570,24,17.0,4.1,29,26.1,-5,0.84,12,2.3,19,3.7
South Carolina,4/1/2024,4369,2550,58.4,0.5,2450,100,46.5,3.9,147,41.3,-47,0.68,60,2.6,101,4.3
South Dakota,4/1/2024,711,483,68.0,-1.2,475,9,-26.2,1.8,20,-4.8,-11,0.43,12,2.6,17,3.6
Tennessee,4/1/2024,5748,3443,59.9,-1.5,3333,111,-4.1,3.2,190,15.9,-79,0.58,96,2.9,152,4.5
Texas,4/1/2024,24010,15548,64.8,0.9,14916,632,25.8,4.1,620,17.2,12,1.02,349,2.5,487,3.5
Utah,4/1/2024,2649,1822,68.8,0.5,1763,59,44.1,3.2,75,-1.3,-16,0.78,43,2.5,64,3.7
Vermont,4/1/2024,544,354,65.0,-0.9,346,8,-1.3,2.1,14,-12.5,-6,0.54,7,2.2,11,3.5
Virginia,4/1/2024,6959,4552,65.4,-0.2,4425,127,-0.6,2.8,254,19.2,-127,0.50,80,1.9,148,3.5
Washington,4/1/2024,6359,4041,63.5,-1.9,3856,185,23.6,4.6,125,-24.2,60,1.48,69,1.9,104,2.9
West Virginia,4/1/2024,1432,792,55.3,0.4,760,33,-22.8,4.1,55,25.0,-22,0.59,24,3.3,37,5.1
Wisconsin,4/1/2024,4805,3142,65.4,-0.8,3049,93,-3.0,3.0,142,-4.7,-49,0.65,60,2.0,92,3.0
Wyoming,4/1/2024,464,292,63.0,-2.8,284,9,-36.0,3.0,14,-17.6,-5,0.63,8,2.7,13,4.4
Alabama,3/1/2024,4085,2347,57.5,0.2,2280,68,-8.7,2.9,114,15.2,-46,0.59,47,2.1,85,3.9
Alaska,3/1/2024,553,359,64.9,0.5,343,16,-14.6,4.5,23,0.0,-7,0.70,11,3.3,16,4.8
Arizona,3/1/2024,6012,3722,61.9,-0.1,3594,127,-24.4,3.4,158,-0.6,-31,0.81,68,2.1,100,3.1
Arkansas,3/1/2024,2418,1403,58.0,0.1,1356,48,-0.7,3.4,72,24.1,-24,0.66,31,2.3,56,4.2
California,3/1/2024,31579,19618,62.1,-0.9,18607,1010,17.5,5.2,739,-4.8,271,1.37,300,1.7,591,3.3
Colorado,3/1/2024,4796,3256,67.9,-0.8,3129,128,27.8,3.9,186,50.0,-58,0.69,70,2.4,100,3.4
Connecticut,3/1/2024,2993,1925,64.3,-2.0,1864,61,-17.6,3.2,83,18.6,-22,0.74,31,1.8,55,3.2
Delaware,3/1/2024,847,510,60.2,-0.9,490,20,13.8,3.8,25,13.6,-5,0.78,11,2.2,19,3.9
District of Columbia,3/1/2024,567,413,72.9,1.5,392,21,-7.7,5.1,33,0.0,-12,0.64,13,1.7,20,2.6
Florida,3/1/2024,18929,11107,58.7,-0.6,10750,356,15.2,3.2,523,28.2,-167,0.68,264,2.7,425,4.3
Georgia,3/1/2024,8760,5417,61.8,-1.1,5238,179,-5.3,3.3,254,11.9,-75,0.71,111,2.2,186,3.7
Hawaii,3/1/2024,1132,679,60.0,-1.3,660,19,26.4,2.8,27,3.8,-8,0.70,13,2.0,19,3.0
Idaho,3/1/2024,1552,990,63.8,-0.4,955,35,34.7,3.5,50,25.0,-15,0.69,23,2.7,38,4.4
Illinois,3/1/2024,10188,6616,64.9,0.8,6286,330,33.1,5.0,397,52.1,-67,0.83,125,2.0,219,3.6
Indiana,3/1/2024,5436,3446,63.4,-0.8,3312,134,14.5,3.9,152,2.0,-18,0.88,71,2.2,108,3.3
Iowa,3/1/2024,2544,1702,66.9,-2.2,1654,48,3.8,2.8,72,-2.7,-24,0.66,34,2.1,49,3.1
Kansas,3/1/2024,2294,1538,67.1,-0.1,1488,50,7.4,3.3,74,5.7,-24,0.68,33,2.3,45,3.1
Kentucky,3/1/2024,3592,2081,57.9,-0.7,1984,98,14.5,4.7,118,34.1,-20,0.83,44,2.2,71,3.5
Louisiana,3/1/2024,3583,2084,58.2,0.2,1998,86,-11.4,4.1,112,14.3,-26,0.77,48,2.4,87,4.4
Maine,3/1/2024,1174,703,59.9,-2.1,683,20,-10.9,2.8,37,15.6,-17,0.53,14,2.1,24,3.7
Maryland,3/1/2024,4963,3234,65.2,-4.1,3138,96,-16.2,3.0,159,5.3,-63,0.61,54,1.9,95,3.4
Massachusetts,3/1/2024,5886,3901,66.3,0.0,3752,149,26.4,3.8,211,13.4,-62,0.71,52,1.4,123,3.3
Michigan,3/1/2024,8157,5045,61.8,0.5,4835,210,12.9,4.2,237,12.3,-27,0.88,96,2.1,151,3.4
Minnesota,3/1/2024,4589,3123,68.0,-1.9,3031,92,-16.1,3.0,162,35.0,-70,0.57,54,1.8,93,3.1
Mississippi,3/1/2024,2308,1260,54.6,-1.4,1224,35,-51.8,2.8,67,24.1,-32,0.53,25,2.1,47,4.0
Missouri,3/1/2024,4934,3132,63.5,-0.5,3020,112,6.7,3.6,155,24.0,-43,0.72,64,2.1,101,3.4
Montana,3/1/2024,914,576,63.1,-0.6,559,18,-9.5,3.0,33,22.2,-15,0.53,16,3.1,26,5.0
Nebraska,3/1/2024,1549,1072,69.2,-0.9,1044,28,-13.1,2.6,51,4.1,-23,0.54,20,1.9,36,3.4
Nevada,3/1/2024,2601,1631,62.7,-1.5,1545,86,26.5,5.3,73,17.7,13,1.18,39,2.5,60,3.8
New Hampshire,3/1/2024,1174,768,65.4,-2.8,750,18,-8.2,2.4,39,8.3,-21,0.46,14,2.0,25,3.6
New Jersey,3/1/2024,7631,4895,64.2,-0.3,4674,221,13.3,4.5,248,31.2,-27,0.89,79,1.8,160,3.7
New Mexico,3/1/2024,1698,978,57.6,-0.2,940,38,-24.6,3.9,59,37.2,-21,0.65,21,2.4,32,3.6
New York,3/1/2024,16275,9904,60.9,-0.1,9495,409,-0.8,4.1,525,32.9,-116,0.78,171,1.7,264,2.7
North Carolina,3/1/2024,8728,5295,60.7,-0.7,5106,189,-0.4,3.6,254,10.9,-65,0.74,113,2.3,163,3.3
North Dakota,3/1/2024,611,422,69.1,-0.2,413,10,5.3,2.3,24,4.3,-14,0.40,10,2.2,16,3.6
Ohio,3/1/2024,9445,5898,62.4,-1.1,5656,242,-9.7,4.1,287,10.8,-45,0.84,119,2.1,192,3.4
Oklahoma,3/1/2024,3157,1994,63.1,2.4,1928,65,12.3,3.3,105,34.6,-40,0.62,40,2.2,76,4.3
Oregon,3/1/2024,3496,2186,62.5,1.5,2095,91,22.4,4.2,101,-9.8,-10,0.90,42,2.1,67,3.4
Pennsylvania,3/1/2024,10577,6602,62.4,-0.4,6358,244,-18.9,3.7,315,22.6,-71,0.78,116,1.9,177,2.9
Rhode Island,3/1/2024,917,593,64.7,0.5,569,24,13.8,4.0,28,21.7,-4,0.85,11,2.1,19,3.7
South Carolina,3/1/2024,4360,2542,58.3,0.4,2447,95,38.6,3.7,152,46.2,-57,0.62,43,1.8,102,4.4
South Dakota,3/1/2024,710,483,67.9,-1.2,474,8,-27.4,1.7,24,14.3,-16,0.35,10,2.1,17,3.6
Tennessee,3/1/2024,5741,3436,59.9,-1.6,3327,109,-5.5,3.2,181,10.4,-72,0.60,86,2.6,140,4.2
Texas,3/1/2024,23964,15505,64.7,0.8,14882,623,24.1,4.0,721,36.3,-98,0.86,343,2.4,479,3.4
Utah,3/1/2024,2644,1819,68.8,0.5,1762,57,40.3,3.1,86,13.2,-29,0.66,42,2.4,62,3.6
Vermont,3/1/2024,544,353,65.0,-0.9,346,7,-3.9,2.1,17,6.3,-10,0.43,7,2.2,10,3.2
Virginia,3/1/2024,6952,4552,65.5,-0.1,4426,126,-1.3,2.8,261,22.5,-135,0.48,88,2.1,168,4.0
Washington,3/1/2024,6351,4038,63.6,-1.8,3854,185,23.5,4.6,159,-3.6,26,1.16,60,1.7,102,2.8
West Virginia,3/1/2024,1432,792,55.3,0.4,760,33,-22.3,4.1,46,4.5,-13,0.71,21,2.9,30,4.2
Wisconsin,3/1/2024,4802,3140,65.4,-0.7,3048,92,-4.2,2.9,159,6.7,-67,0.58,64,2.1,89,2.9
Wyoming,3/1/2024,464,292,63.0,-2.8,284,9,-37.5,2.9,17,0.0,-8,0.50,8,2.7,13,4.4
Alabama,2/1/2024,4081,2344,57.4,0.2,2277,67,-9.0,2.9,119,20.2,-52,0.57,47,2.2,86,3.9
Alaska,2/1/2024,552,358,64.9,0.4,342,16,-14.7,4.5,24,4.3,-8,0.67,12,3.6,18,5.4
Arizona,2/1/2024,6003,3718,61.9,-0.1,3590,128,-24.0,3.4,172,8.2,-44,0.75,76,2.3,110,3.4
Arkansas,2/1/2024,2416,1401,58.0,0.1,1353,48,-0.9,3.4,78,34.5,-30,0.61,32,2.4,62,4.7
California,2/1/2024,31557,19612,62.1,-0.9,18607,1005,16.9,5.1,788,1.5,217,1.28,362,2.0,500,2.8
Colorado,2/1/2024,4790,3253,67.9,-0.8,3127,125,25.6,3.9,178,43.5,-53,0.70,71,2.4,96,3.2
Connecticut,2/1/2024,2990,1922,64.3,-2.0,1861,62,-16.9,3.2,81,15.7,-19,0.76,30,1.8,56,3.3
Delaware,2/1/2024,846,510,60.3,-0.8,490,20,13.4,3.8,26,18.2,-6,0.75,11,2.3,19,3.9
District of Columbia,2/1/2024,566,413,72.9,1.5,392,21,-8.3,5.1,34,3.0,-13,0.62,11,1.4,21,2.7
Florida,2/1/2024,18903,11102,58.7,-0.6,10750,352,13.8,3.2,524,28.4,-172,0.67,324,3.3,415,4.2
Georgia,2/1/2024,8748,5412,61.9,-1.0,5236,176,-7.1,3.2,269,18.5,-93,0.65,103,2.1,191,3.9
Hawaii,2/1/2024,1132,679,60.0,-1.4,660,19,27.0,2.8,31,19.2,-12,0.61,13,2.0,21,3.3
Idaho,2/1/2024,1549,988,63.8,-0.4,954,34,32.9,3.5,50,25.0,-16,0.68,25,2.9,39,4.6
Illinois,2/1/2024,10181,6603,64.9,0.7,6279,324,30.6,4.9,391,49.8,-67,0.83,120,2.0,187,3.1
Indiana,2/1/2024,5432,3440,63.3,-0.8,3309,131,11.8,3.8,180,20.8,-49,0.73,89,2.7,111,3.4
